# SPERT Scheduler Activity Import Template v1
# Confidence Level: Near Certainty, Very High, High, Medium High, Medium, Medium Low, Low, Very Low, Extremely Low, Guesstimate
#   Note: Confidence Level only affects T-Normal and LogNormal distributions. It is ignored for Triangular and Uniform.
# Distribution: normal (T-Normal), logNormal, triangular, uniform  (default: normal)
# Status: planned, inProgress, complete  (default: planned)
# Predecessors: comma-separated Activity IDs, with optional lag - A1, A2+3, A3-1. Quote multi-value cells: "A1,A2".
# Save this file as "CSV UTF-8" (not "CSV Windows") to preserve special characters
# Type column: use 'Activity' for normal rows. 'Section' rows are display-only headers and are skipped on import. If your file has no header row (assumeDefaultColumnOrder), the Type column is ignored entirely.
Activity ID,Activity Name,Optimistic (Min),Most Likely,Pessimistic (Max),Confidence Level,Distribution,Status,Predecessors,Type
A1,Define Requirements,3,5,7,Medium,normal,planned,,Activity
A2,Design Database,4,7,10,High,normal,planned,A1,Activity
A3,Build API,5,10,30,Low,logNormal,planned,A2,Activity
A4,Frontend Development,4,8,15,,triangular,planned,A2,Activity
A5,Vendor Integration,3,8,25,Very Low,logNormal,planned,A3,Activity
A6,Testing,3,5,10,,triangular,planned,"A3,A4",Activity
A7,Security Review,2,2,5,,uniform,planned,"A5,A6",Activity
A8,Code Review,1,2,3,High,normal,planned,A6,Activity
A9,Data Migration,5,12,40,Guesstimate,logNormal,planned,A5,Activity
A10,Deploy to Production,1,1,1,,uniform,planned,"A7,A8,A9",Activity
S1,Phase 2: Implementation,,,,,,,,Section
